[2026-02-14 10:45:47] [INFO] ========================================
[2026-02-14 10:45:47] [INFO] Daily Player Cache Refresh
[2026-02-14 10:45:47] [INFO] ========================================
[2026-02-14 10:45:47] [INFO] 
[2026-02-14 10:45:50] [INFO] Dev server is not running. Starting it...
[2026-02-14 10:45:50] [INFO] Starting dev server...
[2026-02-14 10:45:50] [INFO] Dev server starting (PID: 25500)...
[2026-02-14 10:45:57] [INFO] Waiting for server to start... (5/300 seconds)
[2026-02-14 10:46:04] [INFO] Waiting for server to start... (10/300 seconds)
[2026-02-14 10:46:11] [INFO] Waiting for server to start... (15/300 seconds)
[2026-02-14 10:46:18] [INFO] Waiting for server to start... (20/300 seconds)
[2026-02-14 10:46:25] [INFO] Waiting for server to start... (25/300 seconds)
[2026-02-14 10:46:32] [INFO] Waiting for server to start... (30/300 seconds)
[2026-02-14 10:46:39] [INFO] Waiting for server to start... (35/300 seconds)
[2026-02-14 10:46:46] [INFO] Waiting for server to start... (40/300 seconds)
[2026-02-14 10:46:53] [INFO] Waiting for server to start... (45/300 seconds)
[2026-02-14 10:47:00] [INFO] Waiting for server to start... (50/300 seconds)
[2026-02-14 10:47:07] [INFO] Waiting for server to start... (55/300 seconds)
[2026-02-14 10:47:14] [INFO] Waiting for server to start... (60/300 seconds)
[2026-02-14 10:47:21] [INFO] Waiting for server to start... (65/300 seconds)
[2026-02-14 10:47:28] [INFO] Waiting for server to start... (70/300 seconds)
[2026-02-14 10:47:35] [INFO] Waiting for server to start... (75/300 seconds)
[2026-02-14 10:47:43] [INFO] Waiting for server to start... (80/300 seconds)
[2026-02-14 10:47:50] [INFO] Waiting for server to start... (85/300 seconds)
[2026-02-14 10:47:57] [INFO] Waiting for server to start... (90/300 seconds)
[2026-02-14 10:48:04] [INFO] Waiting for server to start... (95/300 seconds)
[2026-02-14 10:48:11] [INFO] Waiting for server to start... (100/300 seconds)
[2026-02-14 10:48:18] [INFO] Waiting for server to start... (105/300 seconds)
[2026-02-14 10:48:25] [INFO] Waiting for server to start... (110/300 seconds)
[2026-02-14 10:48:32] [INFO] Waiting for server to start... (115/300 seconds)
[2026-02-14 10:48:39] [INFO] Waiting for server to start... (120/300 seconds)
[2026-02-14 10:48:46] [INFO] Waiting for server to start... (125/300 seconds)
[2026-02-14 10:48:53] [INFO] Waiting for server to start... (130/300 seconds)
[2026-02-14 10:49:00] [INFO] Waiting for server to start... (135/300 seconds)
[2026-02-14 10:49:07] [INFO] Waiting for server to start... (140/300 seconds)
[2026-02-14 10:49:14] [INFO] Waiting for server to start... (145/300 seconds)
[2026-02-14 10:49:21] [INFO] Waiting for server to start... (150/300 seconds)
[2026-02-14 10:49:28] [INFO] Waiting for server to start... (155/300 seconds)
[2026-02-14 10:49:35] [INFO] Waiting for server to start... (160/300 seconds)
[2026-02-14 10:49:42] [INFO] Waiting for server to start... (165/300 seconds)
[2026-02-14 10:49:49] [INFO] Waiting for server to start... (170/300 seconds)
[2026-02-14 10:49:56] [INFO] Waiting for server to start... (175/300 seconds)
[2026-02-14 10:50:03] [INFO] Waiting for server to start... (180/300 seconds)
[2026-02-14 10:50:10] [INFO] Waiting for server to start... (185/300 seconds)
[2026-02-14 10:50:17] [INFO] Waiting for server to start... (190/300 seconds)
[2026-02-14 10:50:24] [INFO] Waiting for server to start... (195/300 seconds)
[2026-02-14 10:50:31] [INFO] Waiting for server to start... (200/300 seconds)
[2026-02-14 10:50:39] [INFO] Waiting for server to start... (205/300 seconds)
[2026-02-14 10:50:46] [INFO] Waiting for server to start... (210/300 seconds)
[2026-02-14 10:50:53] [INFO] Waiting for server to start... (215/300 seconds)
[2026-02-14 10:51:00] [INFO] Waiting for server to start... (220/300 seconds)
[2026-02-14 10:51:07] [INFO] Waiting for server to start... (225/300 seconds)
[2026-02-14 10:51:14] [INFO] Waiting for server to start... (230/300 seconds)
[2026-02-14 10:51:21] [INFO] Waiting for server to start... (235/300 seconds)
[2026-02-14 10:51:28] [INFO] Waiting for server to start... (240/300 seconds)
[2026-02-14 10:51:35] [INFO] Waiting for server to start... (245/300 seconds)
[2026-02-14 10:51:42] [INFO] Waiting for server to start... (250/300 seconds)
[2026-02-14 10:51:49] [INFO] Waiting for server to start... (255/300 seconds)
[2026-02-14 10:51:56] [INFO] Waiting for server to start... (260/300 seconds)
[2026-02-14 10:52:03] [INFO] Waiting for server to start... (265/300 seconds)
[2026-02-14 10:52:10] [INFO] Waiting for server to start... (270/300 seconds)
[2026-02-14 10:52:17] [INFO] Waiting for server to start... (275/300 seconds)
[2026-02-14 10:52:24] [INFO] Waiting for server to start... (280/300 seconds)
[2026-02-14 10:52:31] [INFO] Waiting for server to start... (285/300 seconds)
[2026-02-14 10:52:38] [INFO] Waiting for server to start... (290/300 seconds)
[2026-02-14 10:52:45] [INFO] Waiting for server to start... (295/300 seconds)
[2026-02-14 10:52:52] [INFO] Waiting for server to start... (300/300 seconds)
[2026-02-14 10:52:56] [ERROR] Server failed to start within 300 seconds
